;Arpes occ;Arpes tot
-10.875;7.84666538212132E-07;1.21540183921979E-06
-10.87265625;7.81677900194901E-07;1.20931703340357E-06
-10.8703125;7.78493368834479E-07;0.0000012029372459418
-10.86796875;7.75114590598968E-07;1.19626581586749E-06
-10.865625;7.71543312195944E-07;1.18930623345922E-06
-10.86328125;7.67781391419836E-07;1.18206215448601E-06
-10.8609375;7.63830784777093E-07;1.17453737931195E-06
-10.85859375;7.59693553764177E-07;1.16673586645642E-06
-10.85625;7.55371863389095E-07;1.15866172493878E-06
-10.85390625;7.50867976006153E-07;1.15031920751125E-06
-10.8515625;7.46184256497421E-07;1.14171271854376E-06
-10.84921875;0.0000007413231649818;1.13284679848763E-06
-10.846875;7.36287263552509E-07;1.12372613792801E-06
-10.84453125;7.31079205663898E-07;1.11435556084798E-06
-10.8421875;7.25701742112123E-07;1.10474002825896E-06
-10.83984375;7.20157714946996E-07;1.09488463515998E-06
-10.8375;7.14450059782361E-07;1.08479460953573E-06
-10.83515625;7.08581802481131E-07;1.07447530784455E-06
-10.8328125;7.02556055953553E-07;1.06393221075823E-06
-10.83046875;6.96376021842123E-07;1.05317092161077E-06
-10.828125;6.90044984971778E-07;1.04219716343666E-06
-10.82578125;6.83566318171694E-07;1.03101678163838E-06
-10.8234375;6.76943471663693E-07;1.01963572691378E-06
-10.82109375;6.70179979328782E-07;1.00806006852774E-06
-10.81875;6.63279450683247E-07;9.96295978009005E-07
-10.81640625;6.56245574477482E-07;9.84349734720724E-07
-10.8140625;0.0000006490821133126;9.72227719648846E-07
-10.81171875;6.41792901095298E-07;9.59936408688738E-07
-10.809375;6.34381845378381E-07;9.47482375665868E-07
-10.80703125;6.26852917579699E-07;9.34872279752853E-07
-10.8046875;6.19210161678391E-07;9.22112876609766E-07
-10.80234375;6.11457681120522E-07;9.09210996210084E-07
-10.8;0.0000006035996440032;8.96173555346507E-07
-10.79765625;5.95640279981108E-07;8.83007547345282E-07
-10.7953125;5.87583873323041E-07;8.69720034567721E-07
-10.79296875;5.79434767097573E-07;8.56318154388567E-07
-10.790625;5.7119735438219E-07;8.42809102037369E-07
-10.78828125;5.62876083901689E-07;8.29200143256795E-07
-10.7859375;5.54475449304794E-07;8.15498596620123E-07
-10.78359375;5.45999992263112E-07;8.01711834925449E-07
-10.78125;5.37454297829839E-07;7.87847281527481E-07
-10.77890625;5.28842993486496E-07;7.73912407705388E-07
-10.7765625;5.20170745986607E-07;7.59914726989275E-07
-10.77421875;5.11442257808521E-07;7.45861789737027E-07
-10.771875;5.02662266150025E-07;7.31761180078799E-07
-10.76953125;4.93835538676343E-07;7.17620512830131E-07
-10.7671875;4.8496687551997E-07;7.03447433617523E-07
-10.76484375;4.76061099317502E-07;6.89249601867709E-07
-10.7625;4.67123060014833E-07;6.75034703004617E-07
-10.76015625;4.58157626151936E-07;6.60810430811642E-07
-10.7578125;4.49169687892012E-07;6.46584492516651E-07
-10.75546875;4.40164150622184E-07;6.32364601433562E-07
-10.753125;4.31145932428644E-07;6.1815846988712E-07
-10.75078125;4.22119964548487E-07;6.03973810494806E-07
-10.7484375;4.13091182958411E-07;5.8981832516971E-07
-10.74609375;4.0406453430206E-07;5.75699712548855E-07
-10.74375;3.95044963829422E-07;5.61625647926603E-07
-10.74140625;3.86037419443019E-07;5.47603793705147E-07
-10.7390625;3.77046848148494E-07;5.33641789436863E-07
-10.73671875;3.68078188869752E-07;5.19747243319902E-07
-10.734375;3.59136376052576E-07;5.05927738210083E-07
-10.73203125;3.50226330862529E-07;4.92190814437411E-07
-10.7296875;3.4135296548916E-07;0.0000004785439808079
-10.72734375;3.32521173753639E-07;4.64994699085455E-07
-10.725;3.23735832091468E-07;4.51550382831021E-07
-10.72265625;3.15001796541409E-07;4.38218395486171E-07
-10.7203125;3.06323899945718E-07;4.25006046502963E-07
-10.71796875;2.97706949246315E-07;0.000000411920586081
-10.715625;2.8915572275195E-07;3.98969200464837E-07
